"Occupation by major field of study (detailed, 4-digit): Canada, provinces and territories"
"Frequency: Occasional"
"Table: 98-10-0404-01"
"Release date: 2023-10-04"
"Geography: Canada, Province or territory"
"Universe: Population aged 15 years and over in private households, 2021 Census — 25% Sample data"
"Variable List: Occupation - Unit group - National Occupational Classification (NOC) 2021 (821A), Age (2), Highest certificate, diploma or degree (16), Major field of study - Classification of Instructional Programs (CIP) 2021 (500), Gender (3)"

"Geography","Canada i1",,
"Age (2) 1","Total - Age 4",,
"Highest certificate, diploma or degree (16) 2","Total - Highest certificate, diploma or degree 5",,
"Major field of study - Classification of Instructional Programs (CIP) 2021 (500) 3","Total - Major field of study - Classification of Instructional Programs (CIP) 2021 6",,
"Gender (3) 7 8","Total - Gender","Men+ 10","Women+ 11"
"Occupation - Unit group - National Occupational Classification (NOC) 2021 (821A) 9"
"2210 Technical occupations in physical sciences","21,850","13,405","8,445"
"22100 Chemical technologists and technicians","13,315","6,565","6,760"
"22101 Geological and mineral technologists and technicians","8,530","6,845","1,685"
"2211 Technical occupations in life sciences","53,760","34,515","19,250"
"22110 Biological technologists and technicians","11,025","5,325","5,700"
"22111 Agricultural and fish products inspectors","3,740","1,990","1,750"
"22112 Forestry technologists and technicians","7,240","5,630","1,610"
"22113 Conservation and fishery officers","3,955","2,900","1,055"
"22114 Landscape and horticulture technicians and specialists","27,800","18,675","9,125"
"222 Technical occupations related to applied sciences (except engineering)","269,225","198,840","70,385"
"2221 Technical occupations in architecture, drafting, surveying, geomatics and meteorology","69,035","45,530","23,505"
"22210 Architectural technologists and technicians","14,705","8,860","5,840"
"22211 Industrial designers","11,495","7,030","4,465"
"22212 Drafting technologists and technicians","29,820","20,640","9,180"
"22213 Land survey technologists and technicians","3,540","2,960","585"
"22214 Technical occupations in geomatics and meteorology","9,475","6,040","3,435"
"2222 Technical occupations in computer and information systems","147,060","114,305","32,755"
"22220 Computer network and web technicians","70,545","59,370","11,170"
"22221 User support technicians","65,285","47,765","17,515"
"22222 Information systems testing technicians","11,235","7,165","4,070"
"2223 Technical inspectors and regulatory officers","53,130","39,010","14,120"
"22230 Non-destructive testers and inspectors","7,170","6,555","610"
"22231 Engineering inspectors and regulatory officers","7,450","5,200","2,255"
"22232 Occupational health and safety specialists","20,965","12,700","8,265"
"22233 Construction inspectors","17,550","14,560","2,990"
"223 Technical occupations related to engineering","221,055","196,000","25,055"
"2230 Technical occupations in civil, mechanical and industrial engineering","103,095","87,610","15,485"
"22300 Civil engineering technologists and technicians","23,675","19,005","4,670"
"22301 Mechanical engineering technologists and technicians","33,115","30,840","2,280"
"22302 Industrial engineering and manufacturing technologists and technicians","17,775","14,185","3,590"
"22303 Construction estimators","28,525","23,580","4,945"
"2231 Technical occupations in electronics and electrical engineering","117,965","108,390","9,575"
"22310 Electrical and electronics engineering technologists and technicians","47,425","42,170","5,255"
"22311 Electronic service technicians (household and business equipment)","55,150","51,720","3,420"
"22312 Industrial instrument technicians and mechanics","9,615","9,165","455"
"22313 Aircraft instrument, electrical and avionics mechanics, technicians and inspectors","5,775","5,330","440"
"3 Health occupations","1,601,710","315,180","1,286,535"
"30 Specialized middle management occupations in health care","39,060","9,650","29,410"
"300 Specialized middle management occupations in health care","39,060","9,650","29,410"
"3001 Managers in health care","39,060","9,650","29,410"
"30010 Managers in health care","39,060","9,650","29,410"
"31 Professional occupations in health","692,825","160,895","531,935"
"311 Health treating and consultation services professionals","225,380","100,070","125,310"
"3110 Physicians and veterinarians","124,000","64,520","59,480"
"31100 Specialists in clinical and laboratory medicine","37,655","21,210","16,445"
"31101 Specialists in surgery","11,120","7,500","3,620"
"31102 General practitioners and family physicians","63,175","31,580","31,600"
"31103 Veterinarians","12,055","4,235","7,820"
"3111 Dentists, optometrists and audiologists","44,435","17,860","26,575"
"31110 Dentists","24,565","14,165","10,395"
"31111 Optometrists","6,945","2,860","4,090"
"31112 Audiologists and speech-language pathologists","12,925","840","12,085"
"3112 Pharmacists and dietitians","56,940","17,685","39,255"
"31120 Pharmacists","44,860","17,155","27,705"
"31121 Dietitians and nutritionists","12,085","535","11,555"
"312 Therapy and assessment professionals","96,365","25,235","71,130"
"3120 Therapy and assessment professionals","96,365","25,235","71,130"
"31200 Psychologists","20,680","4,515","16,170"
"31201 Chiropractors","9,800","5,890","3,910"
"31202 Physiotherapists","28,055","7,770","20,285"
"31203 Occupational therapists","18,580","1,610","16,970"
"31204 Kinesiologists and other professional occupations in therapy and assessment","11,540","3,435","8,100"
"31209 Other professional occupations in health diagnosing and treating","7,715","2,020","5,695"
"313 Nursing and allied health professionals","371,085","35,590","335,495"
"3130 Nursing and allied health professionals","371,085","35,590","335,495"
"31300 Nursing coordinators and supervisors","15,020","1,545","13,475"
"31301 Registered nurses and registered psychiatric nurses","346,095","32,870","313,225"
"31302 Nurse practitioners","6,785","570","6,220"
"31303 Physician assistants, midwives and allied health professionals","3,185","605","2,585"
"32 Technical occupations in health","354,405","72,095","282,305"
"321 Technical occupations in health (except practitioners of natural healing)","299,425","61,165","238,265"
"3210 Technical occupations in therapy and assessment","176,305","39,525","136,775"
"32100 Opticians","10,260","3,035","7,230"
"32101 Licensed practical nurses","78,340","8,090","70,250"
"32102 Paramedical occupations","31,870","19,780","12,095"
"32103 Respiratory therapists, clinical perfusionists and cardiopulmonary technologists","13,855","3,465","10,395"
"32104 Animal health technologists and veterinary technicians","22,650","1,820","20,830"
"32109 Other technical occupations in therapy and assessment","19,325","3,340","15,980"
"3211 Technical occupations in dental health care","37,940","5,790","32,150"
"32110 Denturists","2,740","1,685","1,055"
"32111 Dental hygienists and dental therapists","29,705","935","28,770"
"32112 Dental technologists and technicians","5,495","3,170","2,325"
"3212 Medical technologists and technicians","85,190","15,850","69,340"
"32120 Medical laboratory technologists","20,940","4,180","16,760"
"32121 Medical radiation technologists","20,755","4,400","16,350"
"32122 Medical sonographers","6,985","980","6,005"
"32123 Cardiology technologists and electrophysiological diagnostic technologists","3,260","605","2,650"
"32124 Pharmacy technicians","27,965","3,775","24,190"
"32129 Other medical technologists and technicians","5,290","1,905","3,385"
"322 Practitioners of natural healing","54,975","10,935","44,040"
"3220 Practitioners of natural healing","54,975","10,935","44,040"
"32200 Traditional Chinese medicine practitioners and acupuncturists","5,175","1,740","3,435"
"32201 Massage therapists","43,665","8,150","35,515"
"32209 Other practitioners of natural healing","6,130","1,035","5,095"
"33 Assisting occupations in support of health services","515,420","72,540","442,885"
"331 Assisting occupations in support of health services","515,420","72,540","442,885"
"3310 Assisting occupations in support of health services","515,420","72,540","442,885"
"33100 Dental assistants and dental laboratory assistants","39,965","1,605","38,360"
"33101 Medical laboratory assistants and related technical occupations","21,600","3,560","18,040"
"33102 Nurse aides, orderlies and patient service associates","380,320","53,690","326,630"
"33103 Pharmacy technical assistants and pharmacy assistants","33,655","4,965","28,695"
"33109 Other assisting occupations in support of health services","39,885","8,720","31,165"
"4 Occupations in education, law and social, community and government services","2,532,170","816,725","1,715,450"
"40 Managers in public administration, in education and social and community services and in public protection services","139,490","59,820","79,670"
"400 Managers in public administration, in education and social and community services and in public protection services","139,490","59,820","79,670"
"4001 Managers in public administration","27,585","13,195","14,390"
"40010 Government managers - health and social policy development and program administration","8,155","2,825","5,330"
"40011 Government managers - economic analysis, policy development and program administration","12,255","6,445","5,810"
"40012 Government managers - education policy development and program administration","2,035","720","1,310"
"40019 Other managers in public administration","5,140","3,200","1,940"
"4002 Managers in education","51,495","18,870","32,630"
"40020 Administrators - post-secondary education and vocational training","18,420","6,295","12,125"
"40021 School principals and administrators of elementary and secondary education","33,080","12,575","20,505"
"4003 Managers in social, community and correctional services","36,120","8,275","27,840"
"40030 Managers in social, community and correctional services","36,120","8,275","27,840"
"4004 Managers in public protection services","24,285","19,475","4,810"
"40040 Commissioned police officers and related occupations in public protection services","2,240","1,610","640"
"40041 Fire chiefs and senior firefighting officers","2,725","2,515","210"
"40042 Commissioned officers of the Canadian Armed Forces","19,325","15,355","3,965"
"41 Professional occupations in law, education, social, community and government services","1,337,875","475,880","861,995"
"411 Professional occupations in law","109,335","58,275","51,055"
"4110 Judges, lawyers and Quebec notaries","109,335","58,275","51,055"
"41100 Judges","3,355","1,830","1,525"
"41101 Lawyers and Quebec notaries","105,980","56,440","49,535"
"412 Professional occupations in education services","796,855","266,185","530,670"
"4120 University professors and post-secondary assistants","200,550","96,090","104,460"
"41200 University professors and lecturers","79,445","43,955","35,490"
"41201 Post-secondary teaching and research assistants","121,110","52,135","68,970"
"4121 College and other vocational instructors","108,620","50,905","57,715"
"41210 College and other vocational instructors","108,620","50,905","57,715"
"4122 Secondary, elementary and kindergarten school teachers","487,680","119,185","368,495"
"41220 Secondary school teachers","165,375","67,290","98,085"
"41221 Elementary school and kindergarten teachers","322,305","51,895","270,410"
"413 Professional occupations in social and community services","187,750","51,800","135,950"
"4130 Social and community service professionals","137,460","39,290","98,170"
"41300 Social workers","69,445","9,660","59,785"
"41301 Therapists in counselling and related specialized therapies","37,585","6,635","30,950"
"41302 Religious leaders","30,435","23,000","7,435"
"4131 Police investigators and probation officers","9,100","3,900","5,200"
"41310 Police investigators and other investigative occupations","3,670","2,570","1,100"
"41311 Probation and parole officers","5,430","1,330","4,100"
"4132 Educational and employment counsellors","41,190","8,610","32,580"
"41320 Educational counsellors","28,820","6,060","22,755"
"41321 Career development practitioners and career counsellors (except education)","12,370","2,545","9,825"
"414 Professional occupations in government services","243,940","99,620","144,315"
"4140 Policy and program researchers, consultants and officers","243,940","99,620","144,315"
"41400 Natural and applied science policy researchers, consultants and program officers","37,725","19,025","18,695"
"41401 Economists and economic policy researchers and analysts","23,970","13,255","10,715"
"41402 Business development officers and market researchers and analysts","46,305","25,000","21,305"
"41403 Social policy researchers, consultants and program officers","45,075","15,180","29,895"
"41404 Health policy researchers, consultants and program officers","29,270","6,950","22,325"
"41405 Education policy researchers, consultants and program officers","28,530","7,375","21,155"
"41406 Recreation, sports and fitness policy researchers, consultants and program officers","10,605","3,505","7,095"
"41407 Program officers unique to government","15,250","6,685","8,565"
"41409 Other professional occupations in social science","7,210","2,645","4,570"
"42 Front-line public protection services and paraprofessional occupations in legal, social, community, education services","633,015","160,100","472,915"
"421 Occupations in front-line public protection services","111,625","91,390","20,235"
"4210 Occupations in front-line public protection services","111,625","91,390","20,235"
"42100 Police officers (except commissioned)","75,200","57,145","18,050"
"42101 Firefighters","34,795","32,810","1,985"
"42102 Specialized members of the Canadian Armed Forces","1,625","1,425","200"
